t_c | Gold: nepal (84.0,28.0) | Model: nepal (84.0,28.0) p = 0
t_i | Gold: limerick (-6.2930556,52.7327778) | Model: limerick (-90.56222,32.755) p = 623
t_i | Gold: ireland (-8.0,53.3333333) | Model: ireland (-81.77167,39.25556) p = 6613
t_i | Gold: limerick (-6.2930556,52.7327778) | Model: limerick (-90.56222,32.755) p = 623
t_i | Gold: ireland (-8.0,53.3333333) | Model: ireland (-81.77167,39.25556) p = 6613
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-84.08333,37.12889) p = 7201
#############################################
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
t_c | Gold: iraq (44.0,33.0) | Model: iraq (44.0,33.0) p = 0
t_c | Gold: turkey (35.0,39.0) | Model: turkey (35.0,39.0) p = 0
t_c | Gold: baghdad (44.3938889,33.3386111) | Model: baghdad (44.3938889,33.3386111) p = 8648
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
#############################################
t_i | Gold: milan (9.2,45.4666667) | Model: milan (-88.17833,38.08611) p = 5778
t_i | Gold: milan (9.2,45.4666667) | Model: milan (-88.17833,38.08611) p = 5778
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
#############################################
t_c | Gold: dhaka (90.25,23.75) | Model: dhaka (90.4086111,23.7230556) p = 47
t_c | Gold: dhaka (90.25,23.75) | Model: dhaka (90.4086111,23.7230556) p = 47
t_c | Gold: dhaka (90.25,23.75) | Model: dhaka (90.4086111,23.7230556) p = 47
#############################################
t_i | Gold: costa rica (-84.0,10.0) | Model: costa rica (-86.2833333,12.5) p = 191
t_i | Gold: costa rica (-84.0,10.0) | Model: costa rica (-86.2833333,12.5) p = 191
t_i | Gold: costa rica (-84.0,10.0) | Model: costa rica (-86.2833333,12.5) p = 191
t_i | Gold: nicaragua (-85.0,13.0) | Model: nicaragua (-76.0775,8.5127778) p = 200
t_i | Gold: costa rica (-84.0,10.0) | Model: costa rica (-86.2833333,12.5) p = 191
t_c | Gold: aguas zarcas de san carlos (-83.5833333,9.2333333) | Model: null
t_c | Gold: costa rica-nicaragua (-84.0,10.0) | Model: null
#############################################
t_c | Gold: belgrade (20.4680556,44.8186111) | Model: belgrade (20.4680556,44.8186111) p = 8794
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_c | Gold: belgrade (20.4680556,44.8186111) | Model: belgrade (20.4680556,44.8186111) p = 8794
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_c | Gold: republika srpska (17.1833333,44.9333333) | Model: null
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_i | Gold: zagreb (16.0683333,45.7405556) | Model: zagreb (16.6844444,44.7008333) p = 550
t_c | Gold: banja luka (17.1855556,44.7758333) | Model: banja luka (17.1855556,44.7758333) p = 4
t_c | Gold: sarajevo (18.3833333,43.85) | Model: sarajevo (18.3833333,43.85) p = 921
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
#############################################
t_i | Gold: belgium (4.0,50.8333333) | Model: belgium (-76.275,43.17639) p = 13530
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
t_i | Gold: canada (-96.0,60.0) | Model: canada (-82.32444,37.60556) p = 626
t_i | Gold: finland (26.0,64.0) | Model: finland (-75.41972,40.38417) p = 2034
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_c | Gold: austria (13.3333333,47.3333333) | Model: austria (13.333333333333334,47.333333333333336) p = 0
t_i | Gold: finland (26.0,64.0) | Model: finland (-75.41972,40.38417) p = 2034
t_i | Gold: japan (138.0,36.0) | Model: japan (-75.91056,40.9925) p = 752
t_i | Gold: brazil (-55.0,-10.0) | Model: brazil (-84.04167,37.52472) p = 3000
t_i | Gold: portugal (-8.0,39.5) | Model: portugal (-85.25,11.0833333) p = 2949
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: brazil (-55.0,-10.0) | Model: brazil (-84.04167,37.52472) p = 3000
t_i | Gold: brazil (-55.0,-10.0) | Model: brazil (-84.04167,37.52472) p = 3000
t_i | Gold: france (2.0,46.0) | Model: france (-111.27444,43.9725) p = 476
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: germany (10.5,51.5) | Model: germany (-79.11694,40.42028) p = 193
#############################################
t_i | Gold: johannesburg (25.7333333,-30.4166667) | Model: johannesburg (-55.05,5.9) p = 770
t_i | Gold: south africa (26.0,-30.0) | Model: south africa (24.0,-29.0) p = 0
t_i | Gold: atlanta (-84.38806,33.74889) | Model: atlanta (-77.47278,42.55417) p = 1945
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: ireland (-8.0,53.3333333) | Model: ireland (-80.46194,38.81556) p = 593
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-80.14889,41.14361) p = 904
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: sydney (151.2166667,-33.8833333) | Model: sydney (-82.2075,27.96306) p = 14494
t_i | Gold: sydney (151.2166667,-33.8833333) | Model: sydney (-82.2075,27.96306) p = 14494
#############################################
t_c | Gold: amsterdam-rotterdam-antwerp (4.5,51.9166667) | Model: null
t_i | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (-82.37833,39.9575) p = 675
t_c | Gold: amsterdam-rotterdam-antwerp (4.5,51.9166667) | Model: null
t_i | Gold: germany (10.5,51.5) | Model: germany (-82.90556,39.00278) p = 5023
t_i | Gold: germany (10.5,51.5) | Model: germany (-82.90556,39.00278) p = 5023
t_i | Gold: germany (10.5,51.5) | Model: germany (-82.90556,39.00278) p = 5023
